Account Status (with the bank),Credit Months,Credit Amount (K=1000),"Saving (account, bonds)",Years of Employment,Residence Years,Age,"House (1=own, 2=rent)",Existing credit installment,Job (1=Good),"Dependent (e.g., children)",Credit (1=Good)
1,21,34,1,2,1,26,2,1,1,1,2
4,30,75,5,1,1,53,1,1,2,1,2
1,12,26,1,3,1,42,1,1,1,1,1
1,6,3,3,5,4,52,2,1,1,1,1
4,12,20,1,4,2,31,2,2,2,1,1
1,21,6,1,5,4,65,2,1,1,1,1
4,36,96,1,2,1,28,2,1,1,1,2
2,36,45,1,3,2,30,2,1,2,1,2
1,21,16,5,3,2,40,2,2,1,1,2
4,24,38,4,3,4,50,1,1,2,1,1
2,18,9,1,5,4,36,1,2,2,1,2
4,15,14,1,3,2,31,2,1,1,1,1
2,9,51,1,5,4,74,1,2,2,1,2
2,16,12,1,1,3,68,3,1,2,1,1
1,12,7,2,4,1,20,1,1,1,1,2
2,18,32,1,3,4,33,2,1,2,1,1
4,24,46,4,3,3,54,3,1,2,1,2
2,48,38,2,4,4,34,1,2,1,1,2
2,27,39,1,3,2,36,1,2,2,1,2
4,6,21,1,4,2,29,1,1,1,1,1
2,45,30,2,3,4,21,1,1,1,1,2
2,9,15,1,5,3,34,2,1,2,1,2
4,6,14,1,3,1,28,2,1,2,1,1
2,12,10,2,2,4,27,4,1,1,1,2
2,24,28,5,5,4,36,1,1,2,1,1
2,18,43,1,5,3,40,1,1,2,1,2
4,9,9,3,5,2,52,2,1,2,1,1
1,12,12,1,3,3,27,1,1,1,1,1
4,27,51,1,4,4,26,2,1,1,1,1
1,12,9,1,4,4,21,1,1,1,1,2
4,12,15,1,5,1,38,2,2,1,1,1
1,30,106,1,5,4,38,3,2,2,1,1
4,12,19,1,5,4,43,3,1,2,1,1
2,12,14,1,4,3,26,1,1,1,1,1
1,24,66,1,3,2,21,1,1,1,1,1
4,12,14,4,4,2,55,1,1,1,2,1
4,9,31,5,3,2,33,2,2,1,1,1
4,36,38,5,5,4,45,1,1,2,1,1
1,27,53,1,1,4,50,2,1,2,1,2
3,30,19,1,5,4,66,1,1,2,1,2
4,36,33,5,5,2,51,1,1,2,1,1
2,6,9,5,4,3,39,2,1,1,1,1
1,18,31,1,4,1,31,1,1,2,1,1
3,36,39,1,3,2,23,1,1,2,1,1
1,24,30,1,3,2,24,1,1,1,1,1
4,10,14,1,3,4,64,1,1,2,1,1
2,12,6,1,2,1,26,1,1,1,1,1
1,12,12,5,3,4,23,1,1,2,1,1
4,12,7,1,3,2,30,2,1,1,1,1
4,24,30,5,3,4,32,2,2,2,1,1
